index,ride_id,rideable_type,user_type,day,month,type_week,season,trip_start_hour,start_station_name,start_user_total,end_station_name,end_user_total
20,3479141FF24AD595,docked_bike,casual,16,1,weekday,winter,17,Unknown,33154,Unknown,41092
33,CDA4546AFB6F34F5,docked_bike,casual,5,1,weekend,winter,13,Streeter Dr & Grand Ave,25621,Streeter Dr & Grand Ave,28139
152,69A8CB6748CA2DB0,docked_bike,casual,22,1,weekday,winter,15,Lake Shore Dr & Monroe St,19502,Millennium Park,19010
157,1DD6245D8E796F48,docked_bike,casual,29,1,weekday,winter,22,Millennium Park,18144,Lake Shore Dr & Monroe St,18833
189,7C3CF816107BE767,docked_bike,casual,20,1,weekday,winter,10,Theater on the Lake,14411,Theater on the Lake,16242
190,6C2A73560288FFFA,docked_bike,casual,17,1,weekday,winter,17,Michigan Ave & Oak St,13039,Lake Shore Dr & North Blvd,13542
191,8504E5A7AF4F7036,docked_bike,casual,22,1,weekday,winter,16,Lake Shore Dr & North Blvd,12603,Michigan Ave & Oak St,13431
194,1F27EDB7492AC2E1,docked_bike,casual,3,1,weekday,winter,14,Indiana Ave & Roosevelt Rd,12584,Indiana Ave & Roosevelt Rd,12532
234,BC608BC10D868760,docked_bike,casual,27,1,weekday,winter,16,Michigan Ave & Lake St,10889,Michigan Ave & Lake St,10411
241,DF1928D0565EC7CC,docked_bike,casual,2,1,weekday,winter,16,Clark St & Elm St,10826,Clark St & Elm St,10241
246,DC4A76AC02024226,docked_bike,casual,15,1,weekday,winter,8,Michigan Ave & Washington St,9974,Michigan Ave & Washington St,9919
283,B2149D0B7761FC44,docked_bike,casual,12,1,weekend,winter,14,Buckingham Fountain,9480,Clark St & Lincoln Ave,9620
300,F84A6437803B489B,docked_bike,casual,8,1,weekday,winter,8,Shedd Aquarium,9460,Wabash Ave & Grand Ave,9469
371,83149CB69EB525D9,docked_bike,casual,27,1,weekday,winter,16,Clark St & Lincoln Ave,9386,Wells St & Concord Ln,9228
394,9B8C1D67FEAE6B64,docked_bike,casual,16,1,weekday,winter,22,Wells St & Concord Ln,9170,Buckingham Fountain,8919
419,1B84D5229E5B30CB,docked_bike,casual,14,1,weekday,winter,11,Michigan Ave & 8th St,9136,Fairbanks Ct & Grand Ave,8836
425,2AFA26B61E7EADD7,docked_bike,casual,3,1,weekday,winter,8,Clark St & Armitage Ave,9127,Clark St & Armitage Ave,8824
437,15FC34B6463C8179,docked_bike,casual,28,1,weekday,winter,10,Wabash Ave & Grand Ave,9101,Michigan Ave & 8th St,8749
444,3A76482F8ECF68DC,docked_bike,casual,6,1,weekday,winter,18,Columbus Dr & Randolph St,8736,Wabash Ave & Roosevelt Rd,8675
502,1C14749756D36813,docked_bike,casual,25,1,weekend,winter,14,Fairbanks Ct & Grand Ave,8310,Lake Shore Dr & Belmont Ave,8515
